0239	array-literal	[k]=$v and [k]="$@" (BashArray)
0240	array-literal	[k]=$v and [k]="$@" (BashAssoc)
0241	array-literal	append to element (BashArray)
0242	array-literal	append to element (BashAssoc)
0243	array-literal	non-index forms of element (BashAssoc)
0244	array-literal	Evaluation order (1)
0245	array-literal	Evaluation order (2)
0246	array-literal	Evaluation order (3)
0247	array-literal	[k1]=v1 (BashArray)
0248	array-literal	[k1]=v1 (BashAssoc)
0249	array-literal	[k1]=v1 looking like brace expansions (BashAssoc)
0250	array-literal	[k1]=v1 looking like brace expansions (BashArray)
0251	array-literal	BashArray cannot be changed to BashAssoc and vice versa
0252	array-literal	(strict_array) s+=()
0253	array-literal	(strict_array) declare -A s+=()
0254	array-literal	(strict_array) assoc=(key value ...) is not allowed
0255	array-sparse	Performance demo
0256	array-sparse	test length
0257	array-sparse	test "declare -p sp"
0258	array-sparse	+=
0259	array-sparse	a[i]=v
0260	array-sparse	Negative index with a[i]=v
0261	array-sparse	a[i]=v with BigInt
0262	array-sparse	Negative out-of-bound index with a[i]=v (1/2)
0263	array-sparse	Negative out-of-bound index with a[i]=v (2/2)
0264	array-sparse	xtrace a+=()
0265	array-sparse	unset -v a[i]
0266	array-sparse	unset -v a[i] with out-of-bound negative index
0267	array-sparse	unset -v a[i] for max index
0268	array-sparse	[[ -v a[i] ]]
0269	array-sparse	[[ -v a[i] ]] with invalid negative index
0270	array-sparse	((sp[i])) and ((sp[i]++))
0271	array-sparse	((sp[i])) and ((sp[i]++)) with invalid negative index
0272	array-sparse	${sp[i]}
0273	array-sparse	${sp[i]} with negative invalid index
0274	array-sparse	${a[@]:offset:length}
0275	array-sparse	${@:offset:length}
0276	array-sparse	${a[@]:BigInt}
0277	array-sparse	${a[@]}
0278	array-sparse	${a[@]#...}
0279	array-sparse	${a[@]/pat/rep}
0280	array-sparse	${a[@]@P}, ${a[@]@Q}, and ${a[@]@a}
0281	array-sparse	${a[@]-unset}, ${a[@]:-empty}, etc.
0282	array-sparse	${a-}
0283	array-sparse	${!a[0]}
0284	array-sparse	${!a[@]}
0285	array-sparse	"${a[*]}"
0286	array-sparse	compgen -F _set_COMPREPLY
0287	array-sparse	compadjust
0288	array-sparse	(YSH) @[sp] and @sp
0289	array-sparse	(YSH) $[a1 === a2]
0290	array-sparse	(YSH) append v1 v2... (a)
0291	array-sparse	(YSH) $[bool(a)]
0292	array-sparse	crash dump
0293	array-sparse	Regression: a[-1]=1
0294	array-sparse	Initializing indexed array with ([index]=value)
0295	array	nounset / set -u with empty array (bug in bash 4.3, fixed in 4.4)
0296	array	local array
0297	array	Command with with word splitting in array
0298	array	space before ( in array initialization
0299	array	array over multiple lines
0300	array	array with invalid token
0301	array	array with empty string
0302	array	Retrieve index
0303	array	Retrieve out of bounds index
0304	array	Negative index
0305	array	Negative index and sparse array
0306	array	Negative index and sparse array
0307	array	Length after unset
0308	array	Retrieve index that is a variable
0309	array	Retrieve index that is a variable without $
0310	array	Retrieve index that is a command sub
